# BarlowDTI GBM hyperparameters of all benchmarks
,BindingDB,BIOSNAP/full_data,BIOSNAP/missing_data/70,BIOSNAP/missing_data/80,BIOSNAP/missing_data/90,BIOSNAP/missing_data/95,BIOSNAP/unseen_drug,BIOSNAP/unseen_protein,DAVIS
XGB,"{'n_estimators': 300, 'learning_rate': 0.05915174232364009, 'max_depth': 10, 'gamma': 0.24136620707089163, 'min_child_weight': 0.0010064235082737948, 'subsample': 0.7745639849663313, 'reg_lambda': 8.976569880565936}","{'n_estimators': 1000, 'learning_rate': 0.08686266943372155, 'max_depth': 11, 'gamma': 4.020736074666886e-05, 'min_child_weight': 1.4610471640769429e-08, 'subsample': 0.9728842115858463, 'reg_lambda': 0.0005039705066391982}","{'n_estimators': 500, 'learning_rate': 0.17626092297244716, 'max_depth': 8, 'gamma': 1.8944570581156783e-06, 'min_child_weight': 0.0007469466503373318, 'subsample': 0.9590479245513267, 'reg_lambda': 0.017458463911519968}","{'n_estimators': 600, 'learning_rate': 0.10650270350181715, 'max_depth': 8, 'gamma': 0.0009554441412842415, 'min_child_weight': 2.434608897913082e-06, 'subsample': 0.8647215424243402, 'reg_lambda': 3.903220235238468e-05}","{'n_estimators': 400, 'learning_rate': 0.08180952001540781, 'max_depth': 12, 'gamma': 3.5823042637785226e-08, 'min_child_weight': 9.499427873642862e-07, 'subsample': 0.8178784211796281, 'reg_lambda': 9.531050119665873e-06}","{'n_estimators': 800, 'learning_rate': 0.11503895392364881, 'max_depth': 7, 'gamma': 3.1434446766540656e-08, 'min_child_weight': 3.389737239753954e-07, 'subsample': 0.9793922966780259, 'reg_lambda': 0.00011680164832255472}","{'n_estimators': 900, 'learning_rate': 0.1259634663832885, 'max_depth': 10, 'gamma': 4.244032819127046e-06, 'min_child_weight': 3.580874829683391e-08, 'subsample': 0.9503099092896757, 'reg_lambda': 0.001437897477312324}","{'n_estimators': 600, 'learning_rate': 0.09639807881715969, 'max_depth': 9, 'gamma': 0.001544803810052396, 'min_child_weight': 0.0003095978776805155, 'subsample': 0.9146677349676281, 'reg_lambda': 0.03296044424406143}","{'n_estimators': 1000, 'learning_rate': 0.02602194523066069, 'max_depth': 12, 'gamma': 4.758976415540844e-07, 'min_child_weight': 8.123621697851897e-08, 'subsample': 0.7701595458100993, 'reg_lambda': 0.010356522513311756}"
BarlowDTI,"{'n_estimators': 900, 'learning_rate': 0.02077870079043057, 'max_depth': 9, 'gamma': 7.453239021051645e-08, 'min_child_weight': 8.874792786867724e-06, 'subsample': 0.5221338774584177, 'reg_lambda': 1.3016199069460688}","{'n_estimators': 1000, 'learning_rate': 0.08668340136361047, 'max_depth': 9, 'gamma': 4.7593371383513586e-08, 'min_child_weight': 5.500520059799478e-07, 'subsample': 0.9220777349042333, 'reg_lambda': 0.05113699889179966}","{'n_estimators': 700, 'learning_rate': 0.1717771320067764, 'max_depth': 6, 'gamma': 1.3891178830283018e-07, 'min_child_weight': 2.826844860704303e-05, 'subsample': 0.8619705743173571, 'reg_lambda': 0.003502098884647805}","{'n_estimators': 800, 'learning_rate': 0.03696441881660651, 'max_depth': 9, 'gamma': 5.168509478233924e-07, 'min_child_weight': 8.538685628116698e-08, 'subsample': 0.435629361421119, 'reg_lambda': 0.010284779639584333}","{'n_estimators': 600, 'learning_rate': 0.09091353122296339, 'max_depth': 7, 'gamma': 4.285582359564771e-05, 'min_child_weight': 1.108929417145537e-07, 'subsample': 0.7585952642908373, 'reg_lambda': 0.08247207345985173}","{'n_estimators': 400, 'learning_rate': 0.10745192201763229, 'max_depth': 4, 'gamma': 1.1959333717712894e-06, 'min_child_weight': 3.2790009653841464e-07, 'subsample': 0.9087128813158991, 'reg_lambda': 3.747459273485396}","{'n_estimators': 1000, 'learning_rate': 0.05247172384858635, 'max_depth': 11, 'gamma': 6.906801813218672e-07, 'min_child_weight': 2.465693572145844e-08, 'subsample': 0.6436045969538997, 'reg_lambda': 6.494440166560062e-05}","{'n_estimators': 1000, 'learning_rate': 0.06906462325337188, 'max_depth': 9, 'gamma': 3.3772723530090604e-08, 'min_child_weight': 0.0004790516492957054, 'subsample': 0.4886337296184515, 'reg_lambda': 0.002095674808321705}","{'n_estimators': 600, 'learning_rate': 0.02033543657954052, 'max_depth': 9, 'gamma': 1.7285236425337998e-06, 'min_child_weight': 4.788488633573016e-07, 'subsample': 0.7562668791054439, 'reg_lambda': 0.3284230371966964}"

,nature_mach_intel/BindingDB/cluster,nature_mach_intel/BindingDB/protein,nature_mach_intel/BindingDB/random,nature_mach_intel/BindingDB/scaffold,nature_mach_intel/BioSNAP/cluster,nature_mach_intel/BioSNAP/protein,nature_mach_intel/BioSNAP/random,nature_mach_intel/BioSNAP/scaffold,nature_mach_intel/Human/protein,nature_mach_intel/Human/random,nature_mach_intel/Human/scaffold
XGB,"{'n_estimators': 300, 'learning_rate': 0.03444219604854336, 'max_depth': 4, 'gamma': 7.895239956318997e-07, 'min_child_weight': 1.7324692153392194, 'subsample': 0.4266559290116849, 'reg_lambda': 0.00010829714084952148}","{'n_estimators': 100, 'learning_rate': 0.2964349725889311, 'max_depth': 6, 'gamma': 4.7764805219218055e-08, 'min_child_weight': 2.8757399845672846e-08, 'subsample': 0.7312998031624656, 'reg_lambda': 8.683798450033307e-06}","{'n_estimators': 700, 'learning_rate': 0.15542869054652772, 'max_depth': 12, 'gamma': 7.642861370798677e-08, 'min_child_weight': 1.893515256430401e-06, 'subsample': 0.9007921336835165, 'reg_lambda': 0.8289226365872099}","{'n_estimators': 700, 'learning_rate': 0.04806899524830816, 'max_depth': 11, 'gamma': 0.034905343848875225, 'min_child_weight': 1.727482526445556e-07, 'subsample': 0.5110039711776397, 'reg_lambda': 0.6576437177909162}","{'n_estimators': 900, 'learning_rate': 0.09192220858848033, 'max_depth': 9, 'gamma': 4.025195520509501e-05, 'min_child_weight': 0.0009678378284398117, 'subsample': 0.8727645598928393, 'reg_lambda': 0.22540563788769002}","{'n_estimators': 800, 'learning_rate': 0.25192891510278365, 'max_depth': 11, 'gamma': 0.0003132236380456648, 'min_child_weight': 0.0315368963836714, 'subsample': 0.998568719327455, 'reg_lambda': 5.73581057233225e-05}","{'n_estimators': 1000, 'learning_rate': 0.07983072046764195, 'max_depth': 8, 'gamma': 4.471648169002376e-07, 'min_child_weight': 0.005053271332424395, 'subsample': 0.8472163709919651, 'reg_lambda': 8.425844718447192e-06}","{'n_estimators': 700, 'learning_rate': 0.20350747466738048, 'max_depth': 10, 'gamma': 8.351217733044229e-08, 'min_child_weight': 1.035807455374124e-06, 'subsample': 0.870631190758485, 'reg_lambda': 3.415232563852591}","{'n_estimators': 700, 'learning_rate': 0.0462075981440827, 'max_depth': 6, 'gamma': 0.007414863870975554, 'min_child_weight': 2.3389788827064795e-07, 'subsample': 0.9968537019420908, 'reg_lambda': 0.0019310521144162381}","{'n_estimators': 300, 'learning_rate': 0.0998847178001821, 'max_depth': 9, 'gamma': 0.021532896528812837, 'min_child_weight': 4.217504658412399e-05, 'subsample': 0.867173802312505, 'reg_lambda': 0.0011700890746857296}","{'n_estimators': 400, 'learning_rate': 0.1560995485198445, 'max_depth': 6, 'gamma': 0.030590624020760446, 'min_child_weight': 10.066959697977143, 'subsample': 0.5823381767678087, 'reg_lambda': 0.18500824467638977}"
BarlowDTI,"{'n_estimators': 600, 'learning_rate': 4.6789410803727395e-05, 'max_depth': 2, 'gamma': 1.5293169876766068e-08, 'min_child_weight': 3.026992858480343e-08, 'subsample': 0.4796692868131583, 'reg_lambda': 2.501397453426575e-06}","{'n_estimators': 800, 'learning_rate': 0.9920796734113505, 'max_depth': 12, 'gamma': 9.395697369908332e-05, 'min_child_weight': 0.0009139577026718254, 'subsample': 0.9688417999991702, 'reg_lambda': 6.857674091135427}","{'n_estimators': 900, 'learning_rate': 0.05356072873218126, 'max_depth': 12, 'gamma': 6.489610549934277e-07, 'min_child_weight': 2.5682372508084104e-06, 'subsample': 0.9157377163579242, 'reg_lambda': 1.0970473301288757}","{'n_estimators': 800, 'learning_rate': 0.13976116292045088, 'max_depth': 9, 'gamma': 0.0005301415709112408, 'min_child_weight': 6.062116323483822e-07, 'subsample': 0.7522811743383084, 'reg_lambda': 4.290748447162049}","{'n_estimators': 1000, 'learning_rate': 0.04429016682752054, 'max_depth': 4, 'gamma': 6.338337471516014e-07, 'min_child_weight': 43.15577476092884, 'subsample': 0.8351796838702641, 'reg_lambda': 7.82008110342631e-06}","{'n_estimators': 800, 'learning_rate': 0.08563333243878192, 'max_depth': 4, 'gamma': 0.0361406594576148, 'min_child_weight': 6.774269207407513e-08, 'subsample': 0.9337333426490285, 'reg_lambda': 8.1292197891693}","{'n_estimators': 900, 'learning_rate': 0.05293224591874424, 'max_depth': 9, 'gamma': 0.0007939961838394925, 'min_child_weight': 3.7208082960081277e-06, 'subsample': 0.4498684490898741, 'reg_lambda': 6.458182946460131e-06}","{'n_estimators': 1000, 'learning_rate': 0.14313429700464242, 'max_depth': 6, 'gamma': 8.201254848028928e-08, 'min_child_weight': 3.5517055835107474, 'subsample': 0.8996106941953959, 'reg_lambda': 0.26447557028132573}","{'n_estimators': 1000, 'learning_rate': 0.017780426288998744, 'max_depth': 8, 'gamma': 5.981825246661207e-08, 'min_child_weight': 0.0004965373445656661, 'subsample': 0.5780127226953231, 'reg_lambda': 6.386122040458309e-06}","{'n_estimators': 700, 'learning_rate': 0.05386424184452116, 'max_depth': 11, 'gamma': 0.001434222564475482, 'min_child_weight': 5.815070055745373e-08, 'subsample': 0.4424479517505075, 'reg_lambda': 0.014600320929293156}","{'n_estimators': 800, 'learning_rate': 0.07693049474894627, 'max_depth': 6, 'gamma': 1.7273036214056865e-05, 'min_child_weight': 2.3222188477156008e-08, 'subsample': 0.4818179702735429, 'reg_lambda': 0.09121415891653972}"

,nature_mach_intel/PDBBindv2016,nature_mach_intel/PDBBindv2020
XGB,"{'n_estimators': 500, 'learning_rate': 0.037493907331546165, 'max_depth': 10, 'gamma': 5.554260768835275e-05, 'min_child_weight': 3.2759459557676475e-06, 'subsample': 0.48184330203593556, 'reg_lambda': 0.00039429646512416236}","{'n_estimators': 900, 'learning_rate': 0.023252392001476246, 'max_depth': 10, 'gamma': 0.09262098786348515, 'min_child_weight': 9.129718371253367e-08, 'subsample': 0.6688570572042729, 'reg_lambda': 1.1055700093849468}"
BarlowDTI,"{'n_estimators': 700, 'learning_rate': 0.01842633851251872, 'max_depth': 8, 'gamma': 0.07964145156608127, 'min_child_weight': 24.700818466689867, 'subsample': 0.7643514561624782, 'reg_lambda': 0.01730894507524396}","{'n_estimators': 700, 'learning_rate': 0.02588952391382755, 'max_depth': 10, 'gamma': 1.7565488241882784e-05, 'min_child_weight': 0.1497732724679506, 'subsample': 0.7120644478605045, 'reg_lambda': 4.097053836939847e-05}"
